Player Id,Year,Rushing TDs,Rushing Yards,Rushing Attempts,Fumbles,Team
2501078,2015,0,15,16,0,IND
2501078,2014,0,-11,8,0,IND
2501078,2013,0,-2,2,0,IND
2540224,2016,0,19,4,0,TB
2540224,2014,0,37,19,0,TB
2540224,2013,0,295,60,0,TB
2543704,2016,0,0,1,0,BAL
2543704,2015,1,47,13,0,BAL
2543704,2014,4,292,68,1,BAL
2539260,2016,0,144,41,0,JAX
2539260,2015,1,266,67,3,JAX
2539260,2014,4,582,135,2,JAX
2539260,2013,0,66,20,3,JAX
2532884,2016,0,3,1,0,DET
2532884,2015,0,33,5,0,CIN
2532884,2013,0,65,8,0,CIN
2541556,2016,0,6,1,0,DEN
2532977,2016,0,15,1,0,TEN
2532977,2015,0,17,5,0,TEN
2532977,2014,0,54,4,0,TEN
2556801,2016,0,192,60,1,SD
2555295,2016,0,31,3,0,NYG
2535964,2016,0,37,4,0,CHI
2535890,2016,0,19,4,0,NO
2535890,2015,0,12,4,1,NO
2535890,2015,0,16,7,0,SF
2535890,2014,0,32,10,1,NO
2543491,2016,0,5,1,0,SEA
2555263,2016,1,105,8,0,CLE
2507597,2015,0,-1,1,0,IND
2555387,2016,0,18,11,3,CLE
2533457,2016,2,243,69,0,DAL
2533457,2015,1,751,202,0,WAS
2533457,2014,8,1074,265,2,WAS
2533457,2013,7,1275,276,5,WAS
2495826,2014,0,4,1,0,SF
2555417,2016,1,172,30,0,SEA
2507763,2016,0,31,5,0,BAL
2507763,2015,0,6,1,0,MIN
2507763,2014,0,16,4,1,MIA
2507763,2013,0,33,3,0,MIA
2552429,2016,3,457,77,1,GB
2552429,2015,0,14,3,0,GB
2506467,2016,2,438,94,0,PHI
2506467,2015,3,317,83,0,PHI
2506467,2014,6,329,57,2,PHI
2506467,2013,2,220,53,1,NO
2550268,2016,1,293,88,0,KC
2550268,2015,4,634,160,1,KC
2495472,2016,0,59,9,0,IND
2495472,2015,0,22,4,0,PIT
2495472,2014,1,186,32,0,JAX
2495472,2013,2,256,76,0,JAX
2552477,2016,2,150,34,0,GB
2506613,2016,0,26,2,1,SEA
2506613,2014,0,5,2,1,SEA
