Player Id,Year,Team,Side
2532848,2013,CLE,Defense
2532849,2013,BUF,Offense
2539275,2013,TB,Offense
2535988,2013,ARI,Offense
2534822,2013,PIT,Defense
2495611,2013,TB,Defense
2506964,2013,WAS,Defense
2500835,2013,ATL,Offense
2533016,2013,PHI,Defense
2539264,2013,TEN,Defense
2539215,2013,ATL,Defense
80644,2013,NYJ,Offense
2539964,2013,BUF,Offense
2537931,2013,CLE,Offense
2506404,2013,SF,Offense
2534764,2013,BAL,Offense
2539202,2013,BUF,Offense
496788,2013,PHI,Defense
2495613,2013,BAL,Defense
497236,2013,NO,Offense
2539946,2013,JAX,Defense
2540259,2013,CLE,Offense
238,2013,CLE,Offense
2495450,2013,CIN,Offense
2532853,2013,SD,Offense
2495288,2013,DEN,Offense
2506881,2013,MIN,Defense
497238,2013,CIN,Offense
496790,2013,MIN,Defense
2495614,2013,TEN,Defense
2541316,2013,HOU,Offense
2533033,2013,WAS,Offense
2506861,2013,MIA,Defense
2534770,2013,HOU,Offense
497240,2013,NE,Offense
1720,2013,MIN,Defense
2495481,2013,SD,Defense
2495481,2013,IND,Defense
496733,2013,CLE,Defense
2506883,2013,KC,Defense
2506108,2013,WAS,Defense
2495617,2013,CIN,Defense
2540147,2013,NYG,Defense
2533028,2013,DAL,Offense
497242,2013,JAX,Offense
2533353,2013,LA,Offense
2541243,2013,NE,Defense
2506893,2013,NO,Defense
2532859,2013,NO,Offense
2530510,2013,DEN,Defense
2495621,2013,NYJ,Defense
2495159,2013,DAL,Offense
2536025,2013,SD,Offense
2535718,2013,NYJ,Defense
2504844,2013,CIN,Defense
81831,2013,MIA,Offense
80425,2013,SEA,Offense
2501078,2013,IND,Offense
2508097,2013,CIN,Offense
497012,2013,ATL,Offense
2539237,2013,LV,Defense
4483,2013,LA,Defense
2532861,2013,GB,Defense
2541832,2013,DAL,Defense
1363,2013,MIN,Defense
252,2013,JAX,Offense
2495164,2013,NYG,Defense
2506897,2013,CHI,Offense
2508109,2013,PIT,Defense
80427,2013,IND,Offense
2533433,2013,NO,Defense
2533057,2013,NE,Defense
2539292,2013,SEA,Defense
2541834,2013,NO,Offense
2504833,2013,DET,Offense
2533437,2013,DEN,Offense
2532865,2013,IND,Offense
2539293,2013,MIN,Defense
2530515,2013,BUF,Offense
2495453,2013,LV,Offense
2539307,2013,IND,Offense
2507780,2013,PIT,Defense
497246,2013,NE,Offense
2540165,2013,HOU,Offense
2539306,2013,CAR,Defense
2495170,2013,GB,Defense
2508112,2013,ARI,Offense
2495493,2013,KC,Defense
496794,2013,LV,Defense
2507871,2013,NYJ,Offense
2533006,2013,KC,Defense
81294,2013,CLE,Offense
2495171,2013,KC,Offense
496796,2013,BUF,Defense
2533451,2013,CLE,Defense
2539944,2013,IND,Defense
2507644,2013,NO,Defense
2539310,2013,CIN,Defense
2540151,2013,TEN,Offense
2539240,2013,GB,Defense
2507301,2013,BAL,Defense
2532868,2013,DEN,Defense
2495174,2013,NYJ,Offense
2532869,2013,CIN,Defense
2506420,2013,MIA,Offense
2495466,2013,NO,Offense
2532870,2013,SD,Defense
2532871,2013,SEA,Defense
2541431,2013,ATL,Defense
497016,2013,SF,Offense
2507999,2013,NYJ,Offense
2532872,2013,BAL,Defense
2506889,2013,CLE,Defense
1581,2013,PHI,Offense
2506871,2013,BUF,Offense
496735,2013,HOU,Defense
2532873,2013,DEN,Defense
2505936,2013,ATL,Offense
2495863,2013,SEA,Offense
71341,2013,KC,Defense
2506400,2013,TB,Offense
2531080,2013,CAR,Defense
2506448,2013,NYG,Offense
2541931,2013,NYG,Defense
2533036,2013,SF,Offense
2540224,2013,TB,Offense
79583,2013,IND,Defense
2540164,2013,ARI,Defense
2533039,2013,CHI,Offense
2532876,2013,KC,Offense
2505363,2013,NYG,Defense
2532875,2013,LA,Defense
2495178,2013,WAS,Defense
2540190,2013,MIA,Defense
2539231,2013,NO,Defense
79848,2013,NO,Defense
2507469,2013,LV,Defense
2495867,2013,MIN,Offense
71345,2013,LV,Offense
2541159,2013,BAL,Offense
2495179,2013,NYG,Offense
2534866,2013,SF,Defense
497018,2013,MIA,Offense
2540139,2013,JAX,Offense
2505551,2013,HOU,Offense
2495647,2013,DET,Offense
2533452,2013,IND,Defense
2541147,2013,CLE,Offense
2507187,2013,CAR,Defense
262,2013,TEN,Offense
2539958,2013,ATL,Offense
79589,2013,PIT,Offense
2539936,2013,HOU,Offense
2506353,2013,KC,Defense
2517637,2013,MIN,Defense
2495297,2013,SEA,Defense
264,2013,CIN,Offense
2539286,2013,PHI,Offense
2532878,2013,TB,Defense
2507784,2013,CIN,Defense
71353,2013,ARI,Defense
768,2013,BUF,Offense
2535514,2013,DEN,Defense
2506779,2013,NO,Defense
2532877,2013,LA,Defense
163982,2013,PIT,Offense
2539230,2013,JAX,Defense
2506345,2013,CIN,Defense
2508055,2013,BAL,Defense
2532883,2013,HOU,Offense
2533538,2013,NE,Defense
2541408,2013,NE,Defense
2541408,2013,TB,Defense
2499257,2013,CAR,Defense
2539325,2013,GB,Defense
2535724,2013,KC,Offense
2535724,2013,IND,Offense
2541154,2013,MIA,Defense
2540137,2013,PIT,Defense
2495454,2013,ATL,Offense
2539287,2013,PIT,Offense
2532884,2013,CIN,Offense
496739,2013,MIA,Defense
2495467,2013,LV,Offense
2495184,2013,NO,Defense
2539288,2013,MIA,Defense
2495872,2013,HOU,Defense
496802,2013,NYG,Defense
2495186,2013,SF,Offense
2533131,2013,MIN,Offense
2495655,2013,CAR,Offense
1037847,2013,HOU,Offense
2532887,2013,SEA,Offense
2532888,2013,HOU,Offense
2495298,2013,PHI,Offense
2540258,2013,KC,Offense
2535131,2013,PHI,Offense
2495187,2013,LA,Offense
2532890,2013,PHI,Defense
2495188,2013,HOU,Defense
2495189,2013,NYJ,Offense
2495190,2013,WAS,Defense
2495299,2013,SF,Offense
2539235,2013,CAR,Offense
2533060,2013,CIN,Defense
2539982,2013,CAR,Defense
2541142,2013,NE,Offense
2495300,2013,TEN,Defense
80656,2013,CLE,Defense
2533056,2013,CAR,Defense
2541312,2013,KC,Offense
497302,2013,CAR,Offense
2540168,2013,GB,Offense
2534834,2013,SEA,Defense
89746,2013,GB,Offense
270,2013,LA,Defense
497026,2013,TB,Offense
497028,2013,CLE,Offense
2532891,2013,WAS,Offense
2533454,2013,DAL,Offense
496937,2013,DAL,Defense
2541851,2013,NO,Offense
2540172,2013,SF,Defense
2495660,2013,TB,Offense
2508004,2013,BAL,Defense
71363,2013,TEN,Offense
71365,2013,DET,Defense
494277,2013,KC,Defense
2495888,2013,JAX,Offense
2541855,2013,JAX,Offense
2541855,2013,CLE,Offense
497121,2013,BUF,Offense
2538147,2013,CIN,Defense
1037896,2013,SD,Defense
2495483,2013,SD,Defense
2540163,2013,PHI,Defense
276,2013,LA,Defense
278,2013,LA,Offense
2539933,2013,CHI,Offense
2532896,2013,SF,Offense
2539992,2013,JAX,Defense
2539992,2013,SEA,Defense
2539329,2013,CAR,Defense
2507837,2013,JAX,Defense
2507837,2013,KC,Defense
280,2013,JAX,Defense
2533031,2013,IND,Offense
2495663,2013,SEA,Offense
71375,2013,CLE,Offense
2530713,2013,PHI,Offense
2495443,2013,NE,Offense
